season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count
kharif,PMFBY,Andhra Pradesh,Anantapur,17.44,9493.41,453.87,285.46,285.46,85
kharif,PMFBY,Andhra Pradesh,Chittoor,18.82,22410.65,792.39,50.93,50.93,614
kharif,PMFBY,Andhra Pradesh,East Godavari,97.88,71316.82,1482.17,2984.87,2984.87,1198
kharif,PMFBY,Andhra Pradesh,Guntur,16.75,12411.11,255.87,128.45,128.45,402
kharif,PMFBY,Andhra Pradesh,Krishna,60.88,56967.44,1196.91,1244.66,1244.66,836
kharif,PMFBY,Andhra Pradesh,Kurnool,76.17,58474.66,2230.09,2467.13,2467.13,636
kharif,PMFBY,Andhra Pradesh,Prakasam,33.18,20343.34,614.31,779.25,779.25,505
kharif,PMFBY,Andhra Pradesh,Srikakulam,120.51,91096.38,1860.72,1631.34,1631.34,1753
kharif,PMFBY,Andhra Pradesh,Vizianagaram,45.44,34155.51,709.01,538.47,538.47,1298
kharif,PMFBY,Andhra Pradesh,West Godavari,87.95,62631.75,1284.93,1753.89,1753.89,787
kharif,WBCIS,Andhra Pradesh,Anantapur,898.02,427253.54,8589.3,23135.37,23135.37,63
kharif,WBCIS,Andhra Pradesh,Chittoor,27.45,19028.48,666.72,428.02,428.02,57
kharif,WBCIS,Andhra Pradesh,East Godavari,0.2,121.44,6.07,1.82,1.82,18
kharif,WBCIS,Andhra Pradesh,Guntur,8.24,11767.03,588.35,199.32,199.32,53
kharif,WBCIS,Andhra Pradesh,Krishna,0.12,164.42,8.22,4.11,4.11,6
kharif,WBCIS,Andhra Pradesh,Kurnool,94.16,42385.75,848.78,1906.47,1906.47,48
kharif,WBCIS,Andhra Pradesh,Prakasam,3.01,2825.57,141.28,29.69,29.69,47
kharif,WBCIS,Andhra Pradesh,West Godavari,0.6,482.25,24.11,7.23,7.23,19
kharif,PMFBY,Assam,Baksa,0.2,117.7,2.39,2.14,2.14,2
kharif,PMFBY,Assam,Barpeta,0.59,351.97,7.04,0,0,5
kharif,PMFBY,Assam,Bongaigaon,0.38,225.93,4.52,8.83,8.83,2
kharif,PMFBY,Assam,Cachar,0.37,218.35,4.37,1.31,1.31,5
kharif,PMFBY,Assam,Chirang,0.27,158.5,3.2,3.79,3.79,1
kharif,PMFBY,Assam,Darrang,0.04,25.08,0.0376,0,0,1
kharif,PMFBY,Assam,Dhemaji,0.08,47.99,0.9599,0.1104,0.1104,4
kharif,PMFBY,Assam,Dhubri,0.26,155.36,3.11,3.25,3.25,3
kharif,PMFBY,Assam,Dibrugarh,0.49,290.37,4.59,0,0,7
kharif,PMFBY,Assam,Goalpara,0.54,324.59,6.3,0,0,5
kharif,PMFBY,Assam,Golaghat,0.2,121.52,2.43,0.954,0.954,6
kharif,PMFBY,Assam,Hailakandi,0.55,331.1,1.66,0,0,4
kharif,PMFBY,Assam,Jorhat,0.83,495.38,7.13,0,0,6
kharif,PMFBY,Assam,Kamrup,0.58,345.07,6.9,0.8626,0.8626,9
kharif,PMFBY,Assam,Karbi Anglong,0.27,164.07,0.2461,0,0,2
kharif,PMFBY,Assam,Karimganj,0.52,312.87,6.26,0.5475,0.5475,5
kharif,PMFBY,Assam,Lakhimpur,1.68,1003.81,20.08,54.26,54.26,5
kharif,PMFBY,Assam,Nagaon,4.29,2565.33,51.31,13.85,13.85,10
kharif,PMFBY,Assam,Nalbari,1.3,776.97,15.54,1.79,1.79,5
kharif,PMFBY,Assam,Sivasagar,0.25,150.8,0.4675,0,0,6
kharif,PMFBY,Assam,Sonitpur,0.88,528.42,10.3,0,0,6
kharif,PMFBY,Assam,Tinsukia,2.17,1298.54,25.97,14.41,14.41,4
kharif,PMFBY,Assam,Udalguri,0.21,128.39,2.57,1.01,1.01,2
kharif,PMFBY,Chhattisgarh,Balod,130.51,48923.28,978.47,2054.44,2054.44,429
kharif,PMFBY,Chhattisgarh,Baloda Bazar,125.36,47272.46,945.45,2165.07,2165.07,623
kharif,PMFBY,Chhattisgarh,Balrampur,27.23,7304.32,146.09,110.64,110.64,403
kharif,PMFBY,Chhattisgarh,Bastar,43.55,13082.7,261.65,456.53,456.53,332
kharif,PMFBY,Chhattisgarh,Bemetara,148.13,52787.52,1055.75,3041.97,3041.97,399
kharif,PMFBY,Chhattisgarh,Bijapur,13.37,3748.2,74.96,200.68,200.68,129
kharif,PMFBY,Chhattisgarh,Bilaspur,82.71,32996.14,659.92,1580.84,1580.84,650
kharif,PMFBY,Chhattisgarh,Dhamtari,81.85,33748.37,674.97,1074.12,1074.12,369
kharif,PMFBY,Chhattisgarh,Durg,96,39838.56,796.77,1426.47,1426.47,337
kharif,PMFBY,Chhattisgarh,Gariyaband,61.17,21988.82,439.78,934.33,934.33,337
kharif,PMFBY,Chhattisgarh,Janjgir-champa,110.23,48794.87,975.9,777.84,777.84,649
kharif,PMFBY,Chhattisgarh,Jashpur,19.85,5160.51,103.21,77.55,77.55,420
kharif,PMFBY,Chhattisgarh,Kondagaon,33.92,10163.17,203.26,418.61,418.61,297
kharif,PMFBY,Chhattisgarh,Korba,31.79,10376.31,207.53,261.55,261.55,405
