season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count,gross_premium
kharif,PMFBY,Andhra Pradesh,Anantapur,17.44,9493.41,453.87,285.46,285.46,85,1024.79
kharif,PMFBY,Andhra Pradesh,Chittoor,18.82,22410.65,792.39,50.93,50.93,614,894.25
kharif,PMFBY,Andhra Pradesh,East Godavari,97.88,71316.82,1482.17,2984.87,2984.87,1198,7451.91
kharif,PMFBY,Andhra Pradesh,Guntur,16.75,12411.11,255.87,128.45,128.45,402,512.77
kharif,PMFBY,Andhra Pradesh,Krishna,60.88,56967.44,1196.91,1244.66,1244.66,836,3686.23
kharif,PMFBY,Andhra Pradesh,Kurnool,76.17,58474.66,2230.09,2467.13,2467.13,636,7164.35
kharif,PMFBY,Andhra Pradesh,Prakasam,33.18,20343.34,614.31,779.25,779.25,505,2172.81
kharif,PMFBY,Andhra Pradesh,,19.36,13623.14,241.66,0,0,838,241.66
kharif,PMFBY,Andhra Pradesh,Srikakulam,120.51,91096.38,1860.72,1631.34,1631.34,1753,5123.4
kharif,PMFBY,Andhra Pradesh,,18.86,17621.06,380.62,183.11,183.11,1033,746.84
kharif,PMFBY,Andhra Pradesh,Vizianagaram,45.44,34155.51,709.01,538.47,538.47,1298,1785.95
kharif,PMFBY,Andhra Pradesh,West Godavari,87.95,62631.75,1284.93,1753.89,1753.89,787,4792.71
kharif,PMFBY,Andhra Pradesh,,80.69,66631.05,3046.08,2530.25,2530.25,400,8106.58
kharif,WBCIS,Andhra Pradesh,Anantapur,898.02,427253.54,8589.3,23135.37,23135.37,63,54860.04
kharif,WBCIS,Andhra Pradesh,Chittoor,27.45,19028.48,666.72,428.02,428.02,57,1522.76
kharif,WBCIS,Andhra Pradesh,East Godavari,0.2,121.44,6.07,1.82,1.82,18,9.71
kharif,WBCIS,Andhra Pradesh,Guntur,8.24,11767.03,588.35,199.32,199.32,53,986.99
kharif,WBCIS,Andhra Pradesh,Krishna,0.12,164.42,8.22,4.11,4.11,6,16.44
kharif,WBCIS,Andhra Pradesh,Kurnool,94.16,42385.75,848.78,1906.47,1906.47,48,4661.72
kharif,WBCIS,Andhra Pradesh,Prakasam,3.01,2825.57,141.28,29.69,29.69,47,200.66
kharif,WBCIS,Andhra Pradesh,West Godavari,0.6,482.25,24.11,7.23,7.23,19,38.57
kharif,WBCIS,Andhra Pradesh,,129.97,65194.43,1317.89,3130.11,3130.11,42,7578.11
kharif,PMFBY,Assam,Baksa,0.2,117.7,2.39,2.14,2.14,2,6.67
kharif,PMFBY,Assam,Barpeta,0.59,351.97,7.04,0,0,5,7.04
kharif,PMFBY,Assam,Bongaigaon,0.38,225.93,4.52,8.83,8.83,2,22.18
kharif,PMFBY,Assam,Cachar,0.37,218.35,4.37,1.31,1.31,5,6.99
kharif,PMFBY,Assam,Chirang,0.27,158.5,3.2,3.79,3.79,1,10.78
kharif,PMFBY,Assam,Darrang,0.04,25.08,0.0376,0,0,1,0.04
kharif,PMFBY,Assam,Dhemaji,0.08,47.99,0.9599,0.1104,0.1104,4,1.18
kharif,PMFBY,Assam,Dhubri,0.26,155.36,3.11,3.25,3.25,3,9.61
kharif,PMFBY,Assam,Dibrugarh,0.49,290.37,4.59,0,0,7,4.59
kharif,PMFBY,Assam,Goalpara,0.54,324.59,6.3,0,0,5,6.3
kharif,PMFBY,Assam,Golaghat,0.2,121.52,2.43,0.954,0.954,6,4.34
kharif,PMFBY,Assam,Hailakandi,0.55,331.1,1.66,0,0,4,1.66
kharif,PMFBY,Assam,Jorhat,0.83,495.38,7.13,0,0,6,7.13
kharif,PMFBY,Assam,Kamrup,0.58,345.07,6.9,0.8626,0.8626,9,8.63
kharif,PMFBY,Assam,,0.22,131.62,0.2106,0,0,3,0.21
kharif,PMFBY,Assam,Karbi Anglong,0.27,164.07,0.2461,0,0,2,0.25
kharif,PMFBY,Assam,Karimganj,0.52,312.87,6.26,0.5475,0.5475,5,7.36
kharif,PMFBY,Assam,Lakhimpur,1.68,1003.81,20.08,54.26,54.26,5,128.6
kharif,PMFBY,Assam,,0.1,58.71,1.17,0.6928,0.6928,5,2.56
kharif,PMFBY,Assam,Nagaon,4.29,2565.33,51.31,13.85,13.85,10,79.01
kharif,PMFBY,Assam,Nalbari,1.3,776.97,15.54,1.79,1.79,5,19.12
kharif,PMFBY,Assam,Sivasagar,0.25,150.8,0.4675,0,0,6,0.47
kharif,PMFBY,Assam,Sonitpur,0.88,528.42,10.3,0,0,6,10.3
kharif,PMFBY,Assam,Tinsukia,2.17,1298.54,25.97,14.41,14.41,4,54.79
kharif,PMFBY,Assam,Udalguri,0.21,128.39,2.57,1.01,1.01,2,4.59
kharif,PMFBY,Chhattisgarh,Balod,130.51,48923.28,978.47,2054.44,2054.44,429,5087.35
kharif,PMFBY,Chhattisgarh,Baloda Bazar,125.36,47272.46,945.45,2165.07,2165.07,623,5275.59
kharif,PMFBY,Chhattisgarh,Balrampur,27.23,7304.32,146.09,110.64,110.64,403,367.37
kharif,PMFBY,Chhattisgarh,Bastar,43.55,13082.7,261.65,456.53,456.53,332,1174.71
kharif,PMFBY,Chhattisgarh,Bemetara,148.13,52787.52,1055.75,3041.97,3041.97,399,7139.69
kharif,PMFBY,Chhattisgarh,Bijapur,13.37,3748.2,74.96,200.68,200.68,129,476.32
kharif,PMFBY,Chhattisgarh,Bilaspur,82.71,32996.14,659.92,1580.84,1580.84,650,3821.6
kharif,PMFBY,Chhattisgarh,,21.03,5676.15,113.52,283.82,283.82,124,681.16
kharif,PMFBY,Chhattisgarh,Dhamtari,81.85,33748.37,674.97,1074.12,1074.12,369,2823.21
kharif,PMFBY,Chhattisgarh,Durg,96,39838.56,796.77,1426.47,1426.47,337,3649.71
kharif,PMFBY,Chhattisgarh,Gariyaband,61.17,21988.82,439.78,934.33,934.33,337,2308.44
kharif,PMFBY,Chhattisgarh,Janjgir-champa,110.23,48794.87,975.9,777.84,777.84,649,2531.58
kharif,PMFBY,Chhattisgarh,Jashpur,19.85,5160.51,103.21,77.55,77.55,420,258.31
kharif,PMFBY,Chhattisgarh,,94.97,35812.03,716.24,2776.45,2776.45,466,6269.14
kharif,PMFBY,Chhattisgarh,Kondagaon,33.92,10163.17,203.26,418.61,418.61,297,1040.48
kharif,PMFBY,Chhattisgarh,Korba,31.79,10376.31,207.53,261.55,261.55,405,730.63
kharif,PMFBY,Chhattisgarh,,23.88,6512.62,130.25,412.84,412.84,298,955.93
kharif,PMFBY,Chhattisgarh,Mahasamund,151.02,52685.46,1053.71,2313.6,2313.6,558,5680.91
kharif,PMFBY,Chhattisgarh,Mungeli,51.94,20651.17,413.02,329.33,329.33,350,1071.68
kharif,PMFBY,Chhattisgarh,Narayanpur,3.91,1172.56,23.45,64.73,64.73,59,152.91
kharif,PMFBY,Chhattisgarh,Raigarh,101.79,28899.08,577.98,959.02,959.02,738,2496.02
kharif,PMFBY,Chhattisgarh,Raipur,88.41,37187.59,743.75,1351.77,1351.77,425,3447.29
kharif,PMFBY,Chhattisgarh,Rajnandgaon,284.84,103413.33,2068.27,7595.33,7595.33,836,17258.93
kharif,PMFBY,Chhattisgarh,Sukma,7.84,2116.18,42.32,137.49,137.49,107,317.3
kharif,PMFBY,Chhattisgarh,Surajpur,33.94,9166.01,183.32,274.75,274.75,421,732.82
kharif,PMFBY,Chhattisgarh,Surguja,31.36,8576.48,171.53,90.97,90.97,403,353.47
kharif,PMFBY,Chhattisgarh,,96.35,29787,595.74,1168.12,1168.12,430,2931.98
kharif,WBCIS,Chhattisgarh,Balod,0.19,143.58,7.18,13.71,13.71,7,34.6
kharif,WBCIS,Chhattisgarh,Baloda Bazar,0.06,47.42,2.37,4.74,4.74,12,11.85
kharif,WBCIS,Chhattisgarh,Balrampur,0.03,22.27,1.11,1.96,1.96,8,5.03
kharif,WBCIS,Chhattisgarh,Bastar,0.23,169.22,8.46,19.02,19.02,12,46.5
kharif,WBCIS,Chhattisgarh,Bemetara,1.11,753.5,37.68,76.47,76.47,9,190.62
kharif,WBCIS,Chhattisgarh,Bijapur,0,2.3,0.115,0.338,0.338,1,0.79
kharif,WBCIS,Chhattisgarh,Bilaspur,0.16,155.55,7.78,13.16,13.16,12,34.1
kharif,WBCIS,Chhattisgarh,,0.06,62.48,3.12,6.13,6.13,7,15.38
kharif,WBCIS,Chhattisgarh,Dhamtari,0.05,42.87,2.14,4.15,4.15,20,10.44
kharif,WBCIS,Chhattisgarh,Durg,1.27,818.99,40.95,77.99,77.99,11,196.93
kharif,WBCIS,Chhattisgarh,Gariyaband,0.08,62.17,3.11,7.64,7.64,10,18.39
kharif,WBCIS,Chhattisgarh,Janjgir-champa,0.07,57.72,2.89,6.06,6.06,24,15.01
kharif,WBCIS,Chhattisgarh,Jashpur,0.01,6.17,0.3084,0.9264,0.9264,4,2.16
kharif,WBCIS,Chhattisgarh,,0.48,1004.12,50.21,286.22,286.22,27,622.65
kharif,WBCIS,Chhattisgarh,Kondagaon,0.03,23.4,1.17,3.14,3.14,13,7.45
kharif,WBCIS,Chhattisgarh,Korba,0.19,120.37,6.02,19.06,19.06,29,44.14
kharif,WBCIS,Chhattisgarh,,0.08,62.1,3.11,6.6,6.6,8,16.31
kharif,WBCIS,Chhattisgarh,Mahasamund,0.1,99.43,4.97,9.28,9.28,12,23.53
kharif,WBCIS,Chhattisgarh,Mungeli,0.11,96.9,4.85,7.35,7.35,5,19.55
kharif,WBCIS,Chhattisgarh,Narayanpur,0,4.55,0.2275,0.4027,0.4027,1,1.03
kharif,WBCIS,Chhattisgarh,Raigarh,0.09,57.83,2.89,8.11,8.11,13,19.11
kharif,WBCIS,Chhattisgarh,Raipur,0.08,90.72,4.54,9.35,9.35,24,23.24
kharif,WBCIS,Chhattisgarh,Rajnandgaon,1.46,2224.41,111.22,599.72,599.72,20,1310.66
kharif,WBCIS,Chhattisgarh,Sukma,0.02,32.32,1.62,2.79,2.79,3,7.2
kharif,WBCIS,Chhattisgarh,Surajpur,0.04,30.74,1.54,2.97,2.97,9,7.48
kharif,WBCIS,Chhattisgarh,Surguja,0.1,78.27,3.91,6.8,6.8,11,17.51
kharif,WBCIS,Chhattisgarh,,0.09,67.28,3.36,8.32,8.32,13,20
kharif,PMFBY,Goa,North Goa,0.01,4.88,0.0975,0.012,0.012,6,0.12
kharif,PMFBY,Goa,South Goa,0.27,323.3,3.24,0.0047,0.0047,12,3.25
kharif,PMFBY,Gujarat,Banas Kantha,0.03,10.8,0.4555,0.152,0.152,2,0.76
kharif,PMFBY,Gujarat,Patan,0.02,8.79,0.4312,0.2758,0.2758,3,0.98
kharif,PMFBY,Haryana,Ambala,31.38,23060.88,461.22,115.63,116.34,481,693.19
kharif,PMFBY,Haryana,Bhiwani,56.82,37074.83,741.5,1742.82,2617.77,277,5102.09
kharif,PMFBY,Haryana,,17.14,10975.32,219.51,674.52,913.5,168,1807.53
kharif,PMFBY,Haryana,Faridabad,5.06,3673.98,73.48,46.77,48.84,138,169.09
kharif,PMFBY,Haryana,Fatehabad,96.75,70328.55,1406.57,1774.11,2820.28,248,6000.96
kharif,PMFBY,Haryana,,10.66,6149.19,122.98,37.07,101,231,261.05
kharif,PMFBY,Haryana,Hisar,121.6,87014.25,1740.28,4952.19,6975.22,280,13667.69
kharif,PMFBY,Haryana,Jhajjar,22.62,15171.74,303.43,979.77,1043.7,262,2326.9
kharif,PMFBY,Haryana,Jind,89.98,65558.79,1311.17,1627.37,2274.79,311,5213.33
kharif,PMFBY,Haryana,Kaithal,77.42,56872.28,1137.44,615.32,635,278,2387.76
kharif,PMFBY,Haryana,Karnal,58.91,43288.88,865.78,324.77,325.9,431,1516.45
kharif,PMFBY,Haryana,Kurukshetra,48.65,35731.51,714.45,159.92,160.67,418,1035.04
kharif,PMFBY,Haryana,Mahendragarh,29.22,14024.91,280.5,210,417.34,370,907.84
kharif,PMFBY,Haryana,,7.22,4458.53,89.17,105.76,131.55,369,326.48
kharif,PMFBY,Haryana,Palwal,20.03,14497.25,289.94,236.72,355.26,280,881.92
kharif,PMFBY,Haryana,Panchkula,3.77,2658.58,53.17,169.4,169.55,192,392.12
kharif,PMFBY,Haryana,Panipat,25.8,18955.94,379.12,186,186.39,194,751.51
kharif,PMFBY,Haryana,Rewari,27.27,12844.41,256.89,603.26,751.8,405,1611.95
kharif,PMFBY,Haryana,Rohtak,24.14,17373.91,347.48,1505.04,1566.16,147,3418.68
kharif,PMFBY,Haryana,Sirsa,148.73,107424.42,2148.49,1592.77,4024.54,335,7765.8
kharif,PMFBY,Haryana,Sonipat,48.44,35502.01,710.04,355.54,357.42,337,1423
kharif,PMFBY,Haryana,Yamunanagar,18.66,13693.09,273.86,98.79,99.09,629,471.74
kharif,PMFBY,Himachal Pradesh,Bilaspur,4.43,1329.94,26.6,5.24,5.24,7,37.08
kharif,PMFBY,Himachal Pradesh,Chamba,1.09,327.98,3.37,0,0,12,3.37
kharif,PMFBY,Himachal Pradesh,Hamirpur,6.17,1850.72,36.67,2.53,2.53,10,41.73
kharif,PMFBY,Himachal Pradesh,Kangra,10.79,3235.92,61.59,2.62,2.62,34,66.83
kharif,PMFBY,Himachal Pradesh,Kullu,0,0.144,0.0027,0,0,1,0
kharif,PMFBY,Himachal Pradesh,Mandi,1.62,486.32,6.57,0,0,23,6.57
kharif,PMFBY,Himachal Pradesh,Shimla,0.11,33.24,0.6316,0,0,5,0.63
kharif,PMFBY,Himachal Pradesh,Sirmaur,0.6,179.83,2.57,0,0,10,2.57
kharif,PMFBY,Himachal Pradesh,Solan,2.14,642.52,12.85,0.3286,0.3286,12,13.51
kharif,PMFBY,Himachal Pradesh,Una,5.25,1574.42,17.95,0,0,12,17.95
kharif,WBCIS,Himachal Pradesh,Bilaspur,0.08,104.13,5.21,1.23,1.23,3,7.67
kharif,WBCIS,Himachal Pradesh,Chamba,0.01,3.85,0.1925,0.0129,0.0129,1,0.22
kharif,WBCIS,Himachal Pradesh,Kangra,0,0.4,0.02,0.0127,0.0127,2,0.05
kharif,WBCIS,Himachal Pradesh,Kullu,0.02,20.22,1.01,0.8913,0.8913,4,2.79
kharif,WBCIS,Himachal Pradesh,Mandi,0,3.78,0.1892,0.0237,0.0237,3,0.24
kharif,WBCIS,Himachal Pradesh,Shimla,0.2,197.21,9.86,7.41,7.41,9,24.68
kharif,WBCIS,Himachal Pradesh,Sirmaur,0.25,259,12.95,4.44,4.44,6,21.83
kharif,WBCIS,Himachal Pradesh,Solan,0.86,887.9,44.4,26.17,26.17,5,96.74
kharif,PMFBY,Jammu And Kashmir,Doda,6.26,5033.23,100.66,79.27,79.27,16,259.2
kharif,PMFBY,Jammu And Kashmir,Jammu,15.47,14721.87,294.44,517.99,517.99,20,1330.42
kharif,PMFBY,Jammu And Kashmir,Kathua,14.63,13963.5,279.27,160.21,160.21,19,599.69
kharif,PMFBY,Jammu And Kashmir,Kishtwar,2.12,1703.47,34.07,160.65,160.65,12,355.37
kharif,PMFBY,Jammu And Kashmir,,3.1,2496.91,49.94,45.04,45.04,11,140.02
kharif,PMFBY,Jammu And Kashmir,Rajouri,2.09,1676.98,33.54,34.5,34.5,20,102.54
